X3,Y3,Z3
-879.7307739,423.8213806,-749.7120361
-880.0001221,426.1251221,-749.6494141
-880.2924194,428.6964111,-749.5582275
-880.5961304,431.5289307,-749.4415283
-880.9000854,434.6113281,-749.3071289
-881.1973877,437.9266357,-749.1633911
-881.4853516,441.4493713,-749.0177002
-881.7646484,445.140564,-748.8759155
-882.0363159,448.9419861,-748.7443848
-882.2990723,452.7726135,-748.630188
-882.5507813,456.532074,-748.5371704
-882.7901001,460.1113586,-748.4616699
-883.0439453,464.70578,-748.5593262
-883.3143921,469.4822998,-748.6859741
-883.6905518,474.2946472,-748.77948
-884.0740967,479.3096619,-748.87323
-884.4521484,484.479126,-748.9633179
-884.8139038,489.7763977,-749.0461426
-885.1497192,495.1914063,-749.1192017
-885.449707,500.7260132,-749.180481
-885.7045288,506.3894043,-749.2287598
-885.9083862,512.1925049,-749.263916
-886.0615234,518.1425171,-749.288208
-886.1708374,524.2401123,-749.3070068
-886.2463379,530.4817505,-749.3279419
-886.2981567,536.8629761,-749.3587036
-886.3345337,543.382019,-749.4042358
-886.3619995,550.0396729,-749.4663086
-886.3859253,556.8391724,-749.5439453
-886.4120483,563.7840576,-749.6335449
-886.4468994,570.8755493,-749.7312012
-886.4958496,578.1113281,-749.8366699
-886.5603027,585.4844971,-749.9558105
-886.6386108,592.9846191,-750.0979004
-886.7283936,600.5990601,-750.2702637
-886.8252563,608.3139648,-750.475708
-886.9205933,616.1151733,-750.7109375
-887.0023193,623.9888306,-750.9674072
-887.0585938,631.9213867,-751.2355957
-887.081543,639.8997192,-751.5075073
-887.0675659,647.9119263,-751.776001
-887.0157471,655.9481201,-752.0334473
-886.9257813,664.0018311,-752.2716675
-886.7993164,672.0700684,-752.4819946
-886.6391602,680.1526489,-752.6554565
-886.4486694,688.2526245,-752.7849121
-886.2306519,696.3777466,-752.8679199
-885.9863281,704.5413818,-752.90979
-885.7154541,712.7595825,-752.9231567
-885.4168701,721.0445557,-752.9234009
-885.09021,729.3985596,-752.9238281
-884.7365723,737.8132935,-752.9335938
