R_GM,R_ST,R_BF,L_GM,L_ST,L_BF
2.27E-05,6.38E-05,-4.24E-05,-3.47E-05,-1.40E-05,2.37E-05
2.33E-05,5.80E-05,-4.58E-05,-3.43E-05,-1.63E-05,2.80E-05
2.16E-05,5.29E-05,-4.87E-05,-3.56E-05,-2.33E-05,2.73E-05
2.07E-05,4.75E-05,-4.68E-05,-3.64E-05,-3.28E-05,1.58E-05
2.22E-05,4.13E-05,-4.15E-05,-3.56E-05,-3.20E-05,-1.13E-06
2.37E-05,3.90E-05,-4.02E-05,-3.55E-05,-2.15E-05,-1.49E-05
2.40E-05,4.30E-05,-4.70E-05,-3.47E-05,-9.31E-06,-2.20E-05
2.44E-05,4.82E-05,-5.81E-05,-3.27E-05,4.19E-06,-2.18E-05
2.30E-05,4.98E-05,-6.58E-05,-2.93E-05,1.74E-05,-1.76E-05
2.03E-05,4.94E-05,-6.40E-05,-2.68E-05,2.56E-05,-1.60E-05
1.84E-05,4.83E-05,-5.48E-05,-2.51E-05,2.91E-05,-2.12E-05
1.83E-05,4.29E-05,-4.53E-05,-2.26E-05,3.18E-05,-3.09E-05
1.89E-05,3.22E-05,-3.97E-05,-1.92E-05,3.32E-05,-4.05E-05
1.87E-05,2.20E-05,-4.01E-05,-1.71E-05,2.93E-05,-4.73E-05
1.69E-05,1.85E-05,-4.88E-05,-1.69E-05,2.39E-05,-5.41E-05
1.55E-05,1.94E-05,-6.17E-05,-1.64E-05,2.11E-05,-6.49E-05
1.45E-05,1.84E-05,-7.16E-05,-1.64E-05,1.93E-05,-7.92E-05
1.33E-05,1.31E-05,-7.27E-05,-1.72E-05,1.72E-05,-9.14E-05
1.39E-05,5.66E-06,-6.20E-05,-1.68E-05,1.33E-05,-9.90E-05
1.61E-05,-1.45E-07,-4.47E-05,-1.47E-05,4.04E-06,-0.000103471
1.72E-05,3.62E-06,-2.76E-05,-1.49E-05,-1.21E-05,-0.000103332
1.76E-05,1.09E-05,-1.06E-05,-1.68E-05,-3.02E-05,-9.83E-05
1.76E-05,9.99E-06,2.44E-06,-1.63E-05,-3.91E-05,-8.83E-05
1.60E-05,5.29E-06,7.07E-06,-1.47E-05,-4.28E-05,-7.54E-05
1.58E-05,1.36E-06,6.62E-06,-1.26E-05,-5.25E-05,-6.86E-05
1.72E-05,-3.70E-06,2.76E-06,-8.19E-06,-6.90E-05,-7.70E-05
1.88E-05,-1.23E-05,-8.87E-07,-4.30E-06,-8.76E-05,-9.71E-05
1.97E-05,-2.12E-05,1.26E-06,-9.90E-07,-9.43E-05,-0.000111996
1.90E-05,-2.83E-05,4.92E-06,1.25E-06,-8.15E-05,-0.000112196
1.79E-05,-3.04E-05,2.55E-06,5.24E-07,-6.08E-05,-0.000107783
1.66E-05,-2.66E-05,-6.97E-06,-3.74E-07,-3.88E-05,-0.000110564
1.69E-05,-2.10E-05,-1.68E-05,5.32E-07,-9.03E-06,-0.000117451
1.92E-05,-1.38E-05,-2.18E-05,1.97E-06,3.04E-05,-0.000126279
2.11E-05,-6.23E-06,-2.22E-05,4.27E-06,6.33E-05,-0.000140209
2.12E-05,4.71E-07,-2.18E-05,6.41E-06,6.10E-05,-0.000159141
2.08E-05,7.20E-06,-2.14E-05,7.88E-06,1.56E-05,-0.000175241
2.09E-05,1.60E-05,-2.09E-05,9.38E-06,-3.66E-05,-0.000177272
2.09E-05,2.56E-05,-2.49E-05,1.10E-05,-5.37E-05,-0.000160107
2.07E-05,3.15E-05,-3.67E-05,1.24E-05,-3.64E-05,-0.000132677
1.93E-05,3.06E-05,-5.03E-05,1.46E-05,-1.24E-05,-0.00011148
1.62E-05,2.68E-05,-5.62E-05,1.91E-05,5.36E-06,-0.000103424
1.13E-05,2.58E-05,-5.57E-05,2.33E-05,1.92E-05,-0.000102491
6.65E-06,2.60E-05,-5.58E-05,2.33E-05,2.75E-05,-0.00010061
4.41E-06,2.44E-05,-5.89E-05,1.95E-05,2.81E-05,-9.74E-05
4.67E-06,2.20E-05,-6.23E-05,1.58E-05,2.35E-05,-9.56E-05
5.71E-06,1.82E-05,-6.15E-05,1.26E-05,1.75E-05,-9.54E-05
7.13E-06,1.22E-05,-5.55E-05,9.68E-06,1.02E-05,-9.52E-05
6.98E-06,1.00E-05,-4.92E-05,8.67E-06,2.13E-06,-9.68E-05
4.94E-06,1.39E-05,-4.27E-05,1.07E-05,-2.69E-06,-9.89E-05
3.83E-06,2.26E-05,-3.11E-05,1.57E-05,-8.67E-07,-9.75E-05
3.39E-06,3.67E-05,-1.45E-05,1.99E-05,4.74E-06,-8.99E-05
2.85E-06,4.71E-05,3.13E-06,2.23E-05,1.26E-05,-7.84E-05
2.22E-06,4.16E-05,1.30E-05,2.52E-05,2.42E-05,-6.97E-05
1.24E-06,2.02E-05,8.45E-06,2.52E-05,3.59E-05,-6.98E-05
1.46E-06,-1.39E-06,-3.66E-06,2.11E-05,4.78E-05,-7.72E-05
2.73E-06,-8.92E-06,-1.51E-05,1.66E-05,5.60E-05,-8.36E-05
5.77E-06,-1.31E-05,-2.09E-05,1.60E-05,5.23E-05,-8.53E-05
1.04E-05,-3.68E-05,-2.11E-05,1.73E-05,4.19E-05,-8.33E-05
1.48E-05,-7.88E-05,-2.16E-05,1.65E-05,3.25E-05,-7.70E-05
1.76E-05,-0.000114318,-2.59E-05,1.31E-05,2.37E-05,-6.73E-05
1.90E-05,-0.000133575,-3.11E-05,8.56E-06,9.27E-06,-5.84E-05
1.99E-05,-0.000133711,-3.33E-05,4.93E-06,-7.17E-06,-5.31E-05
2.06E-05,-0.000110126,-3.27E-05,1.93E-06,-1.60E-05,-5.03E-05
2.13E-05,-7.58E-05,-3.25E-05,-2.43E-07,-1.50E-05,-4.63E-05
2.20E-05,-5.56E-05,-3.61E-05,6.86E-08,-1.22E-05,-4.23E-05
2.23E-05,-5.76E-05,-4.29E-05,2.78E-06,-1.37E-05,-4.28E-05
2.05E-05,-7.01E-05,-4.91E-05,6.34E-06,-1.96E-05,-4.84E-05
1.85E-05,-7.70E-05,-5.13E-05,9.59E-06,-2.47E-05,-5.42E-05
1.78E-05,-6.26E-05,-4.94E-05,1.10E-05,-1.77E-05,-5.65E-05
1.71E-05,-2.63E-05,-4.42E-05,1.04E-05,3.39E-06,-5.81E-05
1.68E-05,1.01E-05,-4.03E-05,8.42E-06,2.41E-05,-5.88E-05
1.78E-05,2.36E-05,-4.09E-05,5.40E-06,2.98E-05,-5.40E-05
1.97E-05,1.59E-05,-4.10E-05,2.28E-06,2.27E-05,-4.45E-05
2.12E-05,1.11E-05,-3.99E-05,3.89E-07,1.40E-05,-2.85E-05
2.14E-05,2.33E-05,-4.07E-05,-7.15E-07,8.74E-06,-8.40E-06
2.19E-05,3.77E-05,-4.35E-05,-1.28E-06,3.66E-06,6.96E-06
2.11E-05,3.62E-05,-4.63E-05,1.89E-07,-1.93E-06,2.06E-05
2.05E-05,1.85E-05,-5.02E-05,3.34E-06,-8.69E-06,3.60E-05
2.02E-05,-1.07E-05,-5.63E-05,6.33E-06,-1.21E-05,5.75E-05
1.74E-05,-4.78E-05,-6.21E-05,7.82E-06,-1.17E-05,8.07E-05
1.37E-05,-8.58E-05,-6.46E-05,6.75E-06,-1.20E-05,9.42E-05
1.06E-05,-0.000113818,-5.94E-05,4.19E-06,-1.56E-05,0.000101522
8.32E-06,-0.000121865,-5.18E-05,2.75E-06,-2.03E-05,0.00010755
6.20E-06,-0.000105047,-4.34E-05,4.26E-06,-2.24E-05,0.00011334
4.76E-06,-6.51E-05,-3.16E-05,7.96E-06,-2.25E-05,0.000120943
3.87E-06,-1.60E-05,-2.09E-05,1.18E-05,-2.19E-05,0.000132547
2.89E-06,2.58E-05,-1.66E-05,1.30E-05,-2.14E-05,0.00014756
2.48E-06,5.43E-05,-1.96E-05,1.21E-05,-2.03E-05,0.000163111
3.54E-06,7.56E-05,-2.54E-05,1.12E-05,-1.84E-05,0.000174785
6.56E-06,9.12E-05,-3.02E-05,1.15E-05,-1.62E-05,0.000180363
1.01E-05,9.65E-05,-3.23E-05,1.09E-05,-1.62E-05,0.00017856
1.18E-05,9.09E-05,-3.28E-05,1.02E-05,-2.02E-05,0.000170959
1.06E-05,8.24E-05,-3.27E-05,1.09E-05,-2.46E-05,0.000161367
8.94E-06,7.85E-05,-3.03E-05,1.16E-05,-2.59E-05,0.000152205
9.22E-06,7.67E-05,-2.56E-05,1.14E-05,-2.60E-05,0.000147663
9.77E-06,7.46E-05,-2.46E-05,1.23E-05,-3.08E-05,0.000150119
9.25E-06,7.20E-05,-3.03E-05,1.73E-05,-3.88E-05,0.000156179
1.00E-05,7.00E-05,-3.96E-05,2.40E-05,-4.21E-05,0.000159101
1.32E-05,6.59E-05,-5.01E-05,2.69E-05,-4.00E-05,0.000155353
1.83E-05,5.60E-05,-5.86E-05,2.43E-05,-3.89E-05,0.000147284
2.28E-05,4.20E-05,-6.43E-05,2.11E-05,-4.05E-05,0.000141931
2.31E-05,3.09E-05,-7.15E-05,2.04E-05,-4.19E-05,0.00014316
2.06E-05,2.92E-05,-7.77E-05,1.99E-05,-4.06E-05,0.000148018
1.73E-05,4.02E-05,-7.53E-05,1.68E-05,-3.50E-05,0.000150766
1.34E-05,5.75E-05,-6.55E-05,1.29E-05,-3.12E-05,0.000149335
8.90E-06,6.33E-05,-5.59E-05,1.03E-05,-3.59E-05,0.000144091
4.56E-06,5.29E-05,-5.32E-05,9.76E-06,-4.67E-05,0.000133575
1.88E-07,3.98E-05,-5.59E-05,1.07E-05,-5.65E-05,0.000120418
-2.72E-06,2.86E-05,-5.43E-05,1.31E-05,-6.15E-05,0.000109652
-3.63E-06,2.35E-05,-5.03E-05,1.48E-05,-6.22E-05,0.000102071
-3.13E-06,2.89E-05,-5.00E-05,1.41E-05,-6.05E-05,9.84E-05
-3.03E-06,3.77E-05,-5.44E-05,1.29E-05,-5.71E-05,9.82E-05
-6.55E-06,3.90E-05,-5.89E-05,1.38E-05,-5.28E-05,0.000100487
-1.18E-05,3.51E-05,-5.92E-05,1.63E-05,-4.97E-05,0.000102942
-1.42E-05,3.66E-05,-5.64E-05,2.04E-05,-4.63E-05,0.000102482
-1.24E-05,4.71E-05,-5.05E-05,2.37E-05,-4.27E-05,9.91E-05
-9.62E-06,6.32E-05,-4.28E-05,2.44E-05,-4.03E-05,9.58E-05
-8.25E-06,7.44E-05,-3.52E-05,2.28E-05,-3.67E-05,9.39E-05
-7.37E-06,7.01E-05,-3.04E-05,1.99E-05,-3.13E-05,9.10E-05
-5.30E-06,5.11E-05,-2.79E-05,1.70E-05,-2.75E-05,8.97E-05
-2.70E-06,3.10E-05,-2.88E-05,1.50E-05,-2.66E-05,9.48E-05
-3.96E-07,2.09E-05,-3.38E-05,1.40E-05,-2.77E-05,0.000103832
1.29E-06,1.84E-05,-4.01E-05,1.41E-05,-3.32E-05,0.000110138
2.16E-06,1.55E-05,-4.39E-05,1.61E-05,-4.36E-05,0.000110077
3.73E-06,1.00E-05,-4.36E-05,1.82E-05,-5.11E-05,0.000103919
6.59E-06,3.35E-06,-3.85E-05,1.98E-05,-5.29E-05,9.36E-05
8.39E-06,-1.60E-06,-2.85E-05,2.05E-05,-5.40E-05,7.79E-05
8.84E-06,1.11E-06,-1.59E-05,1.90E-05,-5.59E-05,5.61E-05
9.44E-06,1.85E-05,-8.26E-06,1.64E-05,-6.02E-05,3.45E-05
8.80E-06,4.12E-05,-9.48E-06,1.21E-05,-6.45E-05,2.30E-05
7.32E-06,5.17E-05,-1.30E-05,7.45E-06,-6.28E-05,2.50E-05
6.92E-06,5.21E-05,-1.73E-05,5.89E-06,-5.72E-05,3.28E-05
6.24E-06,4.56E-05,-2.07E-05,4.45E-06,-5.46E-05,3.58E-05
5.96E-06,3.14E-05,-2.31E-05,9.84E-07,-5.52E-05,3.44E-05
8.33E-06,1.53E-05,-2.88E-05,-4.18E-06,-5.32E-05,3.52E-05
1.21E-05,1.26E-06,-3.49E-05,-9.02E-06,-4.82E-05,3.81E-05
1.19E-05,-6.66E-06,-4.14E-05,-1.19E-05,-4.73E-05,3.86E-05
7.49E-06,-7.47E-06,-4.95E-05,-1.35E-05,-5.26E-05,3.40E-05
2.84E-06,-5.63E-06,-5.65E-05,-1.56E-05,-5.76E-05,2.70E-05
6.92E-07,-4.34E-06,-6.03E-05,-1.62E-05,-5.49E-05,1.97E-05
1.62E-06,-3.09E-06,-6.11E-05,-1.36E-05,-4.22E-05,1.27E-05
3.84E-06,-4.27E-07,-5.95E-05,-1.07E-05,-2.54E-05,8.61E-06
5.06E-06,4.90E-06,-5.82E-05,-9.25E-06,-1.27E-05,4.66E-06
5.43E-06,1.29E-05,-6.01E-05,-8.70E-06,-1.76E-05,-4.32E-06
7.40E-06,2.03E-05,-6.47E-05,-7.82E-06,-4.48E-05,-1.88E-05
9.70E-06,2.58E-05,-6.92E-05,-7.64E-06,-7.36E-05,-3.44E-05
9.58E-06,2.92E-05,-7.22E-05,-8.70E-06,-7.75E-05,-4.81E-05
7.75E-06,2.89E-05,-7.30E-05,-9.59E-06,-5.53E-05,-6.10E-05
6.77E-06,2.98E-05,-6.94E-05,-9.57E-06,-3.00E-05,-7.23E-05
5.83E-06,4.01E-05,-6.07E-05,-9.43E-06,-1.82E-05,-7.81E-05
3.92E-06,5.74E-05,-5.01E-05,-7.43E-06,-1.58E-05,-7.77E-05
2.24E-06,7.08E-05,-4.20E-05,-2.33E-06,-1.35E-05,-7.49E-05
2.43E-06,7.53E-05,-3.56E-05,2.84E-06,-1.23E-05,-7.52E-05
4.11E-06,7.12E-05,-2.78E-05,4.83E-06,-1.64E-05,-8.09E-05
5.44E-06,5.90E-05,-1.96E-05,5.04E-06,-2.48E-05,-8.49E-05
6.31E-06,4.31E-05,-1.70E-05,5.54E-06,-2.98E-05,-7.86E-05
6.12E-06,2.81E-05,-1.87E-05,7.93E-06,-2.64E-05,-5.92E-05
5.24E-06,1.72E-05,-2.18E-05,1.26E-05,-1.17E-05,-3.20E-05
6.04E-06,1.31E-05,-2.97E-05,1.36E-05,9.99E-06,-9.41E-06
7.41E-06,1.21E-05,-3.59E-05,9.53E-06,2.68E-05,5.42E-06
6.92E-06,7.80E-06,-3.49E-05,3.79E-06,3.87E-05,1.43E-05
5.62E-06,-4.58E-07,-3.24E-05,-1.49E-06,4.99E-05,1.24E-05
4.87E-06,-9.61E-06,-3.32E-05,-2.09E-06,5.41E-05,5.64E-06
6.18E-06,-1.16E-05,-3.91E-05,2.08E-06,5.49E-05,7.82E-06
9.53E-06,-2.38E-06,-4.64E-05,7.54E-06,6.08E-05,2.18E-05
1.15E-05,1.18E-05,-5.06E-05,1.13E-05,7.03E-05,3.19E-05
1.25E-05,2.17E-05,-5.23E-05,1.13E-05,8.76E-05,2.84E-05
1.49E-05,2.33E-05,-5.76E-05,8.53E-06,0.000109739,1.70E-05
1.84E-05,1.81E-05,-6.83E-05,7.27E-06,0.000119536,6.15E-06
2.22E-05,8.97E-06,-7.99E-05,9.49E-06,0.000115878,-1.37E-06
2.64E-05,-2.42E-07,-8.74E-05,1.28E-05,0.000116915,-6.18E-06
2.99E-05,-5.05E-06,-8.82E-05,1.53E-05,0.000132037,-1.20E-05
3.03E-05,-4.34E-06,-8.25E-05,1.76E-05,0.000148114,-2.61E-05
2.70E-05,-3.42E-06,-7.19E-05,2.06E-05,0.000138741,-5.06E-05
2.37E-05,-5.01E-06,-5.96E-05,2.39E-05,8.66E-05,-8.16E-05
2.23E-05,-2.87E-06,-5.01E-05,2.65E-05,-5.00E-06,-0.000111216
2.13E-05,7.39E-06,-4.72E-05,2.87E-05,-0.000110543,-0.000131319
2.07E-05,2.10E-05,-4.70E-05,3.11E-05,-0.000178223,-0.000135562
2.06E-05,3.22E-05,-4.44E-05,3.23E-05,-0.00017322,-0.000128792
1.85E-05,3.98E-05,-3.88E-05,3.13E-05,-0.000128849,-0.000126712
1.41E-05,4.32E-05,-3.08E-05,2.54E-05,-9.84E-05,-0.000140442
1.14E-05,4.55E-05,-2.28E-05,1.55E-05,-9.33E-05,-0.000165295
1.01E-05,4.76E-05,-1.82E-05,9.47E-06,-9.58E-05,-0.000186701
5.75E-06,4.45E-05,-1.45E-05,9.18E-06,-8.72E-05,-0.000193622
-1.91E-07,3.61E-05,-1.09E-05,9.26E-06,-6.06E-05,-0.000188433
-3.04E-06,3.03E-05,-1.04E-05,5.32E-06,-2.57E-05,-0.000181356
-4.12E-06,2.65E-05,-1.28E-05,-3.91E-07,8.00E-06,-0.000172217
-6.32E-06,1.66E-05,-2.08E-05,-4.17E-06,3.61E-05,-0.000162371
-9.02E-06,7.06E-07,-3.45E-05,-5.04E-06,5.04E-05,-0.000162425
-1.04E-05,-1.41E-05,-4.88E-05,-5.65E-06,5.05E-05,-0.000174384
-8.96E-06,-2.09E-05,-6.08E-05,-5.36E-06,4.92E-05,-0.000189985
-6.79E-06,-2.33E-05,-6.84E-05,-3.29E-06,5.72E-05,-0.000197602
-7.78E-06,-2.45E-05,-7.37E-05,-3.18E-06,7.15E-05,-0.000191662
-1.06E-05,-2.57E-05,-7.58E-05,-6.52E-06,8.50E-05,-0.000173803
-1.13E-05,-2.73E-05,-7.25E-05,-1.18E-05,9.40E-05,-0.000153016
-9.13E-06,-3.19E-05,-6.52E-05,-1.63E-05,9.71E-05,-0.000137088
-6.01E-06,-3.95E-05,-5.93E-05,-1.79E-05,8.35E-05,-0.000129156
-3.53E-06,-4.50E-05,-5.76E-05,-1.48E-05,4.08E-05,-0.000127743
-1.97E-06,-4.87E-05,-5.69E-05,-9.58E-06,-7.39E-06,-0.000128699
-5.69E-07,-5.47E-05,-5.64E-05,-6.75E-06,-1.77E-05,-0.000128103
1.83E-06,-6.34E-05,-5.78E-05,-7.22E-06,1.71E-05,-0.000125859
4.07E-06,-6.84E-05,-5.94E-05,-8.17E-06,6.26E-05,-0.000124152
4.47E-06,-6.43E-05,-5.81E-05,-7.98E-06,8.91E-05,-0.00011948
4.31E-06,-5.02E-05,-5.31E-05,-8.25E-06,9.02E-05,-0.000110128
4.69E-06,-3.31E-05,-4.17E-05,-1.03E-05,6.83E-05,-0.000102564
4.77E-06,-1.61E-05,-2.46E-05,-1.44E-05,2.58E-05,-0.000101099
5.27E-06,9.43E-07,-1.03E-05,-1.79E-05,-2.09E-05,-9.96E-05
6.89E-06,1.05E-05,-6.38E-06,-1.73E-05,-4.68E-05,-9.29E-05
8.50E-06,7.35E-06,-1.26E-05,-1.31E-05,-4.64E-05,-8.18E-05
8.01E-06,2.60E-06,-2.59E-05,-9.85E-06,-3.08E-05,-7.36E-05
7.60E-06,2.14E-07,-3.93E-05,-9.40E-06,-1.31E-05,-7.05E-05
1.13E-05,-6.48E-06,-4.62E-05,-8.51E-06,-2.20E-07,-6.46E-05
1.56E-05,-1.37E-05,-4.75E-05,-6.49E-06,7.96E-06,-5.43E-05
1.58E-05,-1.98E-05,-4.82E-05,-3.94E-06,1.45E-05,-4.90E-05
1.41E-05,-3.17E-05,-5.01E-05,-4.60E-07,1.79E-05,-5.13E-05
1.18E-05,-5.03E-05,-5.40E-05,2.77E-06,1.62E-05,-5.74E-05
9.92E-06,-7.20E-05,-5.82E-05,6.75E-06,1.16E-05,-6.06E-05
9.69E-06,-9.02E-05,-6.27E-05,9.55E-06,7.28E-06,-5.33E-05
1.22E-05,-9.16E-05,-6.61E-05,1.07E-05,7.73E-06,-3.70E-05
1.77E-05,-7.42E-05,-6.75E-05,1.20E-05,1.64E-05,-2.02E-05
2.33E-05,-4.60E-05,-6.84E-05,1.32E-05,3.38E-05,-6.97E-06
2.63E-05,-1.66E-05,-6.66E-05,1.40E-05,5.24E-05,7.23E-06
2.64E-05,4.60E-06,-6.11E-05,1.37E-05,6.06E-05,2.69E-05
2.49E-05,1.57E-05,-5.49E-05,1.33E-05,5.53E-05,5.01E-05
2.14E-05,2.16E-05,-5.22E-05,1.44E-05,4.49E-05,7.33E-05
1.68E-05,2.63E-05,-5.16E-05,1.56E-05,3.16E-05,9.25E-05
1.49E-05,2.80E-05,-5.10E-05,1.59E-05,8.91E-06,0.000106945
1.66E-05,2.37E-05,-4.72E-05,1.55E-05,-1.80E-05,0.000119598
1.91E-05,1.45E-05,-4.13E-05,1.42E-05,-3.04E-05,0.000132834
1.98E-05,7.77E-06,-4.02E-05,1.19E-05,-2.23E-05,0.000146714
1.93E-05,6.38E-06,-4.90E-05,1.05E-05,-1.04E-05,0.00015744
1.76E-05,4.49E-07,-6.28E-05,1.08E-05,-1.06E-05,0.000160762
1.44E-05,-2.05E-05,-7.22E-05,1.10E-05,-2.25E-05,0.000155621
1.07E-05,-5.04E-05,-7.24E-05,1.07E-05,-3.38E-05,0.000144072
7.68E-06,-7.58E-05,-6.15E-05,1.24E-05,-3.56E-05,0.000127447
7.02E-06,-9.36E-05,-4.63E-05,1.67E-05,-3.20E-05,0.000107624
7.17E-06,-0.000106427,-3.58E-05,1.72E-05,-3.39E-05,8.83E-05
6.38E-06,-0.000115263,-3.11E-05,1.32E-05,-4.93E-05,7.46E-05
5.77E-06,-0.000114277,-2.76E-05,1.09E-05,-7.72E-05,6.87E-05
3.81E-06,-1.00E-04,-2.29E-05,1.22E-05,-0.000102267,6.66E-05
3.02E-06,-8.65E-05,-2.04E-05,1.26E-05,-0.000109761,6.24E-05
3.47E-06,-8.58E-05,-2.33E-05,1.17E-05,-0.000100635,5.80E-05
3.82E-06,-9.39E-05,-3.10E-05,1.20E-05,-7.89E-05,5.15E-05
5.27E-06,-0.000104058,-4.08E-05,1.01E-05,-4.78E-05,4.11E-05
7.84E-06,-0.000108475,-5.04E-05,5.30E-06,-1.88E-05,3.02E-05
1.26E-05,-0.000106235,-5.45E-05,1.24E-06,-4.81E-06,1.89E-05
1.70E-05,-0.000103994,-5.17E-05,1.59E-06,-9.29E-06,5.97E-06
1.90E-05,-0.000103015,-4.87E-05,4.21E-06,-2.66E-05,-5.36E-06
1.84E-05,-0.000102637,-4.99E-05,5.23E-06,-4.16E-05,-1.45E-05
1.64E-05,-0.000101003,-5.35E-05,4.78E-06,-4.42E-05,-2.53E-05
1.42E-05,-9.40E-05,-5.72E-05,4.17E-06,-3.67E-05,-3.46E-05
1.36E-05,-8.16E-05,-6.09E-05,2.15E-06,-2.89E-05,-3.80E-05
1.44E-05,-7.20E-05,-6.49E-05,-2.65E-06,-2.93E-05,-3.70E-05
1.50E-05,-6.83E-05,-6.87E-05,-6.64E-06,-3.28E-05,-3.41E-05
1.55E-05,-6.53E-05,-7.07E-05,-7.30E-06,-2.51E-05,-3.00E-05
1.72E-05,-5.98E-05,-6.89E-05,-5.39E-06,-3.91E-06,-2.72E-05
2.04E-05,-5.34E-05,-6.38E-05,-4.00E-06,1.55E-05,-2.73E-05
2.29E-05,-4.65E-05,-5.76E-05,-4.21E-06,1.79E-05,-2.97E-05
2.31E-05,-3.85E-05,-5.17E-05,-4.31E-06,2.35E-06,-3.17E-05
2.14E-05,-3.17E-05,-4.66E-05,-1.83E-06,-1.87E-05,-3.08E-05
1.87E-05,-2.62E-05,-4.04E-05,2.53E-06,-3.26E-05,-2.83E-05
1.56E-05,-2.21E-05,-3.08E-05,4.23E-06,-3.69E-05,-2.90E-05
1.25E-05,-2.20E-05,-2.30E-05,2.80E-06,-3.71E-05,-2.98E-05
1.03E-05,-2.25E-05,-2.53E-05,4.08E-06,-3.65E-05,-2.48E-05
8.08E-06,-2.03E-05,-3.54E-05,5.20E-06,-3.49E-05,-1.91E-05
6.31E-06,-1.91E-05,-3.98E-05,1.08E-06,-3.37E-05,-1.83E-05
6.14E-06,-1.66E-05,-3.37E-05,-2.78E-06,-3.39E-05,-2.35E-05
6.05E-06,-1.03E-05,-2.47E-05,-3.38E-06,-3.55E-05,-3.13E-05
4.99E-06,-1.40E-06,-1.98E-05,-2.44E-06,-3.54E-05,-3.55E-05
3.72E-06,1.03E-05,-1.91E-05,1.63E-07,-2.95E-05,-3.43E-05
3.53E-06,2.08E-05,-1.67E-05,4.49E-06,-2.17E-05,-3.11E-05
4.73E-06,2.67E-05,-1.49E-05,6.31E-06,-1.93E-05,-3.24E-05
5.93E-06,3.51E-05,-1.82E-05,5.66E-06,-1.92E-05,-4.26E-05
6.87E-06,4.88E-05,-2.65E-05,5.68E-06,-1.95E-05,-6.02E-05
1.00E-05,6.24E-05,-3.74E-05,6.25E-06,-2.13E-05,-7.69E-05
1.43E-05,7.17E-05,-4.56E-05,4.77E-06,-2.26E-05,-8.90E-05
1.68E-05,7.54E-05,-4.63E-05,3.09E-06,-2.25E-05,-9.46E-05
1.66E-05,7.68E-05,-4.21E-05,3.20E-06,-2.11E-05,-9.40E-05
1.57E-05,7.81E-05,-4.01E-05,3.37E-06,-1.88E-05,-9.04E-05
1.63E-05,7.83E-05,-4.30E-05,2.04E-06,-1.61E-05,-8.94E-05
1.73E-05,7.84E-05,-5.08E-05,7.28E-07,-1.22E-05,-9.39E-05
1.53E-05,8.12E-05,-6.01E-05,2.44E-06,-5.19E-06,-0.00010111
1.09E-05,8.50E-05,-6.43E-05,6.02E-06,4.87E-06,-0.000104448
8.07E-06,8.96E-05,-5.87E-05,7.54E-06,1.61E-05,-9.63E-05
6.97E-06,9.95E-05,-4.65E-05,6.21E-06,2.50E-05,-7.94E-05
6.67E-06,0.000114107,-3.42E-05,5.45E-06,2.99E-05,-6.39E-05
7.64E-06,0.000126063,-2.63E-05,6.59E-06,3.27E-05,-5.52E-05
9.56E-06,0.00013256,-2.12E-05,6.44E-06,3.62E-05,-5.17E-05
1.10E-05,0.000134005,-1.49E-05,4.97E-06,3.75E-05,-5.10E-05
1.20E-05,0.000130999,-1.27E-05,5.46E-06,3.70E-05,-4.64E-05
1.13E-05,0.000130155,-2.04E-05,6.80E-06,3.55E-05,-3.48E-05
1.03E-05,0.000134484,-3.07E-05,6.63E-06,3.33E-05,-2.64E-05
1.04E-05,0.000142613,-3.43E-05,5.50E-06,3.55E-05,-2.85E-05
1.10E-05,0.000156321,-2.97E-05,5.43E-06,3.88E-05,-3.62E-05
1.10E-05,0.000172007,-2.19E-05,5.31E-06,3.81E-05,-4.08E-05
9.35E-06,0.000181201,-1.86E-05,1.19E-06,3.38E-05,-3.66E-05
9.96E-06,0.000175987,-2.61E-05,-6.98E-06,2.75E-05,-2.69E-05
1.35E-05,0.000155356,-4.51E-05,-1.25E-05,2.19E-05,-1.58E-05
1.49E-05,0.000123993,-6.70E-05,-1.30E-05,1.90E-05,-6.14E-06
1.29E-05,9.37E-05,-8.35E-05,-1.06E-05,2.00E-05,2.16E-06
1.12E-05,7.81E-05,-9.07E-05,-8.88E-06,2.48E-05,8.61E-06
1.25E-05,7.68E-05,-8.89E-05,-8.52E-06,2.70E-05,1.47E-05
1.59E-05,6.83E-05,-8.10E-05,-8.28E-06,2.37E-05,2.21E-05
1.94E-05,3.65E-05,-7.20E-05,-7.93E-06,1.72E-05,2.94E-05
2.03E-05,-2.29E-06,-6.75E-05,-7.34E-06,1.07E-05,3.44E-05
1.87E-05,-2.40E-05,-6.58E-05,-6.44E-06,4.70E-06,3.73E-05
1.69E-05,-2.34E-05,-6.17E-05,-5.21E-06,-1.85E-07,4.30E-05
1.72E-05,-1.10E-05,-5.55E-05,-4.60E-06,-4.71E-06,5.21E-05
1.87E-05,3.20E-06,-5.13E-05,-5.28E-06,-9.18E-06,5.90E-05
1.95E-05,1.68E-05,-4.84E-05,-5.73E-06,-1.03E-05,6.03E-05
2.02E-05,3.11E-05,-4.10E-05,-4.63E-06,-1.01E-05,6.10E-05
2.15E-05,4.12E-05,-2.63E-05,-4.98E-06,-1.35E-05,6.63E-05
2.37E-05,4.36E-05,-9.60E-06,-8.66E-06,-2.00E-05,7.70E-05
