R_GM,R_ST,R_BF,L_GM,L_ST,L_BF
1.06E-05,7.68E-05,-2.07E-05,-2.19E-06,-2.30E-05,-4.91E-06
1.24E-05,6.97E-05,-2.18E-05,-3.30E-06,-1.92E-05,4.92E-06
1.35E-05,6.01E-05,-2.93E-05,-2.37E-06,-1.49E-05,1.79E-05
1.29E-05,5.54E-05,-3.72E-05,8.05E-07,-1.43E-05,2.79E-05
1.15E-05,5.26E-05,-4.22E-05,4.89E-06,-1.41E-05,2.97E-05
1.07E-05,4.63E-05,-4.64E-05,8.33E-06,-1.36E-05,2.66E-05
7.95E-06,3.43E-05,-5.09E-05,8.12E-06,-1.44E-05,2.50E-05
2.56E-06,2.46E-05,-5.52E-05,4.13E-06,-1.29E-05,2.79E-05
-7.40E-07,2.06E-05,-5.82E-05,4.32E-07,-9.73E-06,3.48E-05
-3.98E-07,1.71E-05,-6.06E-05,-1.59E-06,-9.05E-06,4.24E-05
1.31E-06,1.51E-05,-6.40E-05,-4.06E-06,-1.02E-05,4.55E-05
2.69E-06,1.59E-05,-6.53E-05,-7.36E-06,-1.06E-05,4.22E-05
4.48E-06,1.56E-05,-6.01E-05,-8.51E-06,-9.30E-06,3.71E-05
5.83E-06,1.45E-05,-4.96E-05,-7.84E-06,-7.57E-06,3.37E-05
4.78E-06,1.47E-05,-3.82E-05,-6.85E-06,-7.60E-06,2.85E-05
3.24E-06,1.31E-05,-3.11E-05,-5.48E-06,-8.15E-06,1.74E-05
4.99E-06,7.32E-06,-3.22E-05,-4.99E-06,-7.21E-06,2.62E-06
9.40E-06,-2.64E-06,-3.86E-05,-6.67E-06,-5.71E-06,-8.62E-06
1.24E-05,-1.39E-05,-4.47E-05,-8.29E-06,-3.55E-06,-1.36E-05
1.26E-05,-2.09E-05,-4.92E-05,-6.60E-06,-3.70E-07,-1.75E-05
1.23E-05,-2.21E-05,-5.06E-05,-2.52E-06,1.10E-06,-2.60E-05
1.32E-05,-2.06E-05,-4.67E-05,-7.30E-07,-1.26E-06,-3.85E-05
1.49E-05,-1.69E-05,-4.15E-05,-1.97E-06,-6.61E-06,-5.03E-05
1.54E-05,-1.31E-05,-4.16E-05,-3.10E-06,-1.22E-05,-6.10E-05
1.44E-05,-1.44E-05,-4.84E-05,-2.88E-06,-1.70E-05,-7.29E-05
