X3,Y3,Z3
-1617.046875,1056.520142,-761.6060181
-1615.438843,1057.261108,-762.0228271
-1613.927734,1057.931274,-762.4212646
-1612.512451,1058.539917,-762.8035889
-1611.19043,1059.092163,-763.1714478
-1609.958862,1059.589844,-763.5236816
-1608.813965,1060.033325,-763.8546753
-1607.753296,1060.421509,-764.1547852
-1606.774292,1060.753662,-764.4126587
-1605.874878,1061.029907,-764.6176147
-1605.054565,1061.253052,-764.762085
-1604.315186,1061.428955,-764.8432617
-1603.659912,1061.565552,-764.8637695
-1603.091797,1061.670044,-764.8308716
-1602.612427,1061.748169,-764.7545776
-1602.2229,1061.803955,-764.645813
-1601.92395,1061.839478,-764.5148315
-1601.716919,1061.856323,-764.369812
-1601.602173,1061.854736,-764.2159424
-1601.577759,1061.833984,-764.055481
-1601.640259,1061.792725,-763.8880005
-1601.784546,1061.730591,-763.7126465
-1602.004272,1061.649658,-763.5287476
-1602.294189,1061.554321,-763.3358765
-1602.650269,1061.451904,-763.1338501
-1603.070679,1061.348511,-762.9213867
-1603.554688,1061.24939,-762.6968994
-1604.101685,1061.156372,-762.4576416
-1604.710693,1061.066772,-762.2009277
-1605.381226,1060.975342,-761.9244995
-1606.114014,1060.874878,-761.6275024
-1606.911255,1060.759155,-761.3113403
-1607.775391,1060.624023,-760.9796143
-1608.708862,1060.468872,-760.6378174
-1609.713867,1060.29541,-760.2920532
-1610.79187,1060.105957,-759.9486084
-1611.94519,1059.901489,-759.6135254
-1613.177612,1059.68042,-759.2913208
-1614.495117,1059.437744,-758.9833374
-1615.905273,1059.166382,-758.6880493
-1617.414673,1058.858643,-758.4025269
-1619.027588,1058.507813,-758.1241455
-1620.745361,1058.108521,-757.8512573
-1622.566162,1057.65686,-757.5842285
-1624.485474,1057.149658,-757.3248291
-1626.49939,1056.584717,-757.0742798
-1628.60791,1055.960205,-756.8322144
-1630.813232,1055.274048,-756.5965576
-1633.118164,1054.520874,-756.3638306
-1635.524536,1053.692139,-756.130249
-1638.032959,1052.775269,-755.8916626
-1640.643555,1051.755859,-755.6443481
-1643.355347,1050.619507,-755.3862305
-1646.167236,1049.35376,-755.1167603
-1649.076904,1047.948608,-754.8375244
-1652.081665,1046.398071,-754.5517578
-1655.17749,1044.700195,-754.2643433
-1658.359253,1042.855591,-753.9804688
-1661.620972,1040.864868,-753.7036743
-1664.957031,1038.727295,-753.4336548
-1668.363403,1036.439331,-753.1671143
-1671.837036,1033.99707,-752.8995972
-1675.376343,1031.396973,-752.6276855
-1678.979248,1028.636353,-752.3509521
-1682.643066,1025.716064,-752.0722656
-1686.364624,1022.639465,-751.7966309
-1690.141846,1019.414612,-751.5284424
-1693.975342,1016.052917,-751.2695313
-1697.864746,1012.56842,-751.0210571
-1701.80481,1008.976624,-750.7860718
-1705.791504,1005.292236,-750.5686646
-1709.826294,1001.52771,-750.3713379
-1713.911987,997.6907959,-750.196167
-1718.04187,993.7822876,-750.0479736
-1722.196655,989.7966919,-749.9331055
-1726.354126,985.7250366,-749.8556519
-1730.499146,981.559021,-749.8137207
-1734.623291,977.2936401,-749.7996216
-1738.723267,972.9282227,-749.8017578
-1742.797729,968.4658203,-749.80896
-1746.845581,963.9111328,-749.8148804
-1750.867065,959.269104,-749.8196411
-1754.864136,954.5441284,-749.8270874
-1758.840698,949.7401123,-749.8414917
-1762.801147,944.861145,-749.8661499
