LBFT X,LBFT Y,LBFT Z,LLAN X,LLAN Y,LLAN Z,LMAN X,LMAN Y,LMAN Z,RBFT X,RBFT Y,RBFT Z,RLAN X,RLAN Y,RLAN Z,RMAN X,RMAN Y,RMAN Z
-980.7908325,83.98453522,-751.7151489,-924.2528687,118.9587479,-796.4315796,-896.4000854,112.4328003,-721.2211304,-968.8337402,88.08329773,-476.0997009,-921.5957031,124.7079468,-433.8330994,-882.3832397,117.4556198,-503.6363831
-980.7984619,84.01641846,-751.7012939,-924.1759644,118.9828186,-796.4539795,-896.3877563,112.4401474,-721.2253418,-968.8314819,88.09792328,-476.1117554,-921.5489502,124.70121,-433.8412476,-882.3850708,117.4345551,-503.650177
-980.7612915,84.02098846,-751.6985474,-924.1536865,118.9953232,-796.4615479,-896.3762817,112.4641571,-721.2340698,-968.8139038,88.10697937,-476.1112366,-921.5535278,124.731575,-433.8362732,-882.3800659,117.4571152,-503.645752
-980.7645874,84.0533371,-751.7001343,-924.0817871,119.0621262,-796.4897461,-896.3540649,112.4906387,-721.222168,-968.8265991,88.12625122,-476.1004028,-921.5352783,124.7174377,-433.844574,-882.348999,117.4540863,-503.6555176
-980.7355347,84.05812836,-751.711792,-924.2626953,119.2305984,-796.3770142,-896.3135986,112.536087,-721.218811,-968.7833252,88.13085175,-476.1370544,-921.5542603,124.7226486,-433.8391418,-882.3499146,117.4446259,-503.6611938
-980.7476196,84.08666992,-751.6883545,-924.1768188,119.2172623,-796.3931274,-896.2683716,112.5553055,-721.2249756,-968.770752,88.12689209,-476.1409607,-921.5184937,124.7525635,-433.865387,-882.338501,117.4512787,-503.6670837
-980.7560425,84.14492035,-751.6813354,-924.1992188,119.2606125,-796.4040527,-896.2415161,112.5867157,-721.241272,-968.7544556,88.15906525,-476.147644,-921.5126343,124.760788,-433.8630676,-882.28479,117.463707,-503.6446228
-980.7211914,84.1453476,-751.6809692,-924.1589355,119.3113861,-796.4360962,-896.2028809,112.5724106,-721.2437134,-968.755188,88.16869354,-476.1339111,-921.4939575,124.7849045,-433.8625488,-882.302002,117.4730682,-503.6604309
-980.7169189,84.17668152,-751.6738892,-924.0762329,119.3065567,-796.40271,-896.1936646,112.6289749,-721.2376099,-968.7420654,88.20179749,-476.109314,-921.4711914,124.8095322,-433.859436,-882.2507935,117.5016556,-503.6385498
-980.7108765,84.20281982,-751.6715088,-924.0802612,119.3400497,-796.3961182,-896.1516724,112.6382217,-721.2337646,-968.7313232,88.20989227,-476.0982666,-921.4503784,124.8401642,-433.8153381,-882.2546997,117.4995499,-503.6311646
-980.6959839,84.22650909,-751.6544189,-923.9976196,119.4037399,-796.4771118,-896.1240234,112.650322,-721.236084,-968.7260742,88.22260284,-476.0901184,-921.4371338,124.8358154,-433.8260193,-882.2059326,117.5157318,-503.6247253
-980.651062,84.22862244,-751.6544189,-923.9387817,119.418808,-796.4266357,-896.1099243,112.6949463,-721.2397461,-968.6951904,88.23193359,-476.0900574,-921.4263306,124.8505783,-433.8229675,-882.2023926,117.5190887,-503.6416321
-980.6491089,84.2533493,-751.6273193,-923.8964233,119.4808884,-796.4899902,-896.0877075,112.733429,-721.244751,-968.71698,88.25688171,-476.0877991,-921.4191895,124.8629227,-433.8126831,-882.1528931,117.5292358,-503.6170959
-980.6572266,84.28130341,-751.6338501,-923.8413086,119.5185013,-796.4869995,-896.0652466,112.7543259,-721.2568359,-968.677063,88.27121735,-476.0938416,-921.4003296,124.8795242,-433.8356934,-882.1497803,117.5315704,-503.6173096
-980.6422729,84.3092041,-751.6309814,-923.7772827,119.4980316,-796.4812622,-896.0512085,112.7906876,-721.2700195,-968.6963501,88.30251312,-476.0936279,-921.3631592,124.9127655,-433.8287659,-882.1327515,117.5334473,-503.5922852
-980.612854,84.3267746,-751.633667,-923.7497559,119.5521164,-796.519104,-896.0154419,112.8116226,-721.2732544,-968.6731567,88.28617096,-476.0915222,-921.354187,124.8985062,-433.8410339,-882.0924683,117.5364227,-503.617157
-980.6210327,84.34331512,-751.644043,-923.774292,119.637207,-796.5629272,-896.0221558,112.8281021,-721.3046265,-968.677002,88.31764984,-476.0982666,-921.3400879,124.9294052,-433.8653259,-882.0941162,117.5471878,-503.6188049
-980.5991211,84.37789917,-751.6160889,-923.6710205,119.6122818,-796.5148926,-895.9859619,112.8594894,-721.2894897,-968.6484985,88.32798767,-476.0967102,-921.3278198,124.9392776,-433.8383179,-882.0953369,117.5697632,-503.6330566
-980.5958862,84.38387299,-751.6287231,-923.6932373,119.7289581,-796.6112671,-895.9805298,112.8789978,-721.270874,-968.6461792,88.32899475,-476.0970459,-921.3361206,124.9554367,-433.8339844,-882.0725098,117.5631943,-503.630249
-980.581665,84.38843536,-751.6203003,-923.632019,119.6565018,-796.5549927,-895.9827271,112.8970108,-721.2722168,-968.6378174,88.34163666,-476.0766602,-921.3349609,124.9742203,-433.8257141,-882.0585938,117.5490494,-503.6242981
-980.5765381,84.40524292,-751.6204224,-923.6304321,119.6804276,-796.5217285,-895.9648438,112.9023819,-721.2700195,-968.6663818,88.35858917,-476.057312,-921.2820435,124.9747849,-433.8436279,-882.0812378,117.5739136,-503.6160583
-980.5882568,84.41172791,-751.6068115,-923.7094116,119.7142792,-796.5228271,-895.980835,112.9231415,-721.2740479,-968.6575928,88.35326385,-476.0708618,-921.2791138,124.9788895,-433.8410645,-882.071228,117.5539398,-503.6061707
-980.5803223,84.4315033,-751.5891724,-923.6824341,119.7777023,-796.5507813,-895.9768677,112.9177704,-721.258606,-968.635498,88.37569427,-476.0430298,-921.2755127,124.9890289,-433.8002625,-882.0648804,117.5754929,-503.6231689
-980.5847778,84.44546509,-751.602478,-923.7202148,119.7906342,-796.5599976,-895.9786377,112.9225998,-721.2452393,-968.6113892,88.36068726,-476.0678101,-921.267334,125.0018005,-433.7679443,-882.0324097,117.5735703,-503.6074219
